creator_name,terminator_name,total_steps,initial_time,initial_position_x,initial_position_y,initial_position_z,initial_momentum_x,initial_momentum_y,initial_momentum_z,initial_magnetic_field_x,initial_magnetic_field_y,initial_magnetic_field_z,initial_electric_field_x,initial_electric_field_y,initial_electric_field_z,initial_electric_potential,initial_kinetic_energy,initial_orbital_magnetic_moment,initial_polar_angle_to_z,initial_polar_angle_to_b,final_time,final_position_x,final_position_y,final_position_z,final_momentum_x,final_momentum_y,final_momentum_z,final_magnetic_field_x,final_magnetic_field_y,final_magnetic_field_z,final_electric_field_x,final_electric_field_y,final_electric_field_z,final_electric_potential,final_kinetic_energy,final_orbital_magnetic_moment,final_polar_angle_to_z,final_polar_angle_to_b
generator_uniform,term_max_z,335,0.0,0.0,0.0,0.0,2.32486912566e-22,2.511135438e-22,3.26543814776e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,6.42788768111e-14,46.3420220694,46.3420220694,1.675e-09,-0.00253478548798,0.00335531264143,0.300218103121,-3.05093403925e-22,-1.55003837942e-22,3.26543814776e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.997433,6.42788759886e-14,46.3420218863,46.3420218863
generator_uniform,term_max_z,539,0.0,0.0,0.0,0.0,-4.23474816227e-22,5.65832369496e-23,2.02993735569e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.00189327146e-13,64.5862057773,64.5862057773,2.695e-09,0.00217612934103,-0.00348780581812,0.300276959422,1.35333246072e-22,4.05237572594e-22,2.02993735569e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.991525,1.0018932443e-13,64.5862054763,64.5862054763
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,-4.69433089791e-22,-5.63031554211e-23,1.41974737664e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.22696279714e-13,88.2800015553,88.2800015553,3.5e-11,0.000515723420252,-0.00587636336705,0.000272746836322,4.72064057053e-22,2.63248405687e-23,1.41974737664e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000156,1.22696279763e-13,88.2800015557,88.2800015557
generator_uniform,term_max_z,292,0.0,0.0,0.0,0.0,-1.09714807002e-22,2.67433466604e-22,3.744075873e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,4.5863699882e-14,37.6701872588,37.6701872588,1.46e-09,-0.00347293747805,-0.000644638079693,0.300039269711,-6.43240683922e-24,-2.88992425145e-22,3.744075873e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999509,4.58636997247e-14,37.6701872113,37.6701872113
generator_uniform,term_max_z,664,0.0,0.0,0.0,0.0,-3.73475168383e-22,-2.38990139894e-22,1.64739342591e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.07910709759e-13,69.6179542671,69.6179542671,3.32e-09,0.00247940544491,-0.0049162360365,0.30020368308,4.14192630978e-22,1.58254381324e-22,1.64739342591e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.993832,1.07910707782e-13,69.6179540959,69.6179540959
generator_uniform,term_max_z,320,0.0,0.0,0.0,0.0,-3.03324222206e-22,-1.19689184267e-22,3.42648441928e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,5.8363496889e-14,43.5811205322,43.5811205322,1.6e-09,0.000164325202352,-0.00384325809298,0.300918817888,3.12433569324e-22,-9.33613860177e-23,3.42648441928e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.998343,5.83634963581e-14,43.581120402,43.581120402
generator_uniform,term_max_z,236,0.0,0.0,0.0,0.0,-8.70453850576e-23,8.41030405031e-24,4.64856329514e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,4.1976677289e-15,10.6542027741,10.6542027741,1.18e-09,-5.17296348091e-05,-0.00108911868931,0.30107961983,8.74506551814e-23,1.22303370661e-25,4.64856329514e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999616,4.1976676058e-15,10.6542026215,10.6542026215
generator_uniform,term_max_z,275,0.0,0.0,0.0,0.0,-2.34897604383e-22,-9.87957872848e-23,3.98499118233e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,3.56431906429e-14,32.5977080282,32.5977080282,1.375e-09,-0.000868779079525,-0.00203469194057,0.30075348317,9.10959629138e-23,-2.37989532382e-22,3.98499118233e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999747,3.56431905618e-14,32.5977079986,32.5977079986
generator_uniform,term_max_z,764,0.0,0.0,0.0,0.0,2.20076873216e-22,-3.93444649665e-22,1.43200966785e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.11551205718e-13,72.3775311778,72.3775311778,3.82e-09,0.0051488152607,0.00218864803777,0.30025477042,-1.30583178639e-22,4.31486447135e-22,1.43200966785e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.996796,1.11551204691e-13,72.3775311017,72.3775311017
generator_uniform,term_max_z,409,0.0,0.0,0.0,0.0,-3.89941215924e-22,1.05503931291e-25,2.67740315148e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,8.34601913677e-14,55.5258417987,55.5258417987,2.045e-09,0.00169031412156,-0.0041842789923,0.300529899828,2.80454143719e-22,2.70923665321e-22,2.67740315148e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.993409,8.34601892558e-14,55.5258414605,55.5258414605
generator_uniform,term_max_z,400,0.0,0.0,0.0,0.0,3.53723657892e-22,-1.54385496507e-22,2.73466143568e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,8.17592773437e-14,54.6802052401,54.6802052401,2e-09,-0.000103446568622,4.80975544429e-05,0.300202404085,3.46017580605e-22,-1.70959462943e-22,2.73466143568e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.993786,8.17592753526e-14,54.680204911,54.680204911
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,-4.67616942626e-22,4.28562206175e-23,5.68926944936e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.21030299395e-13,83.0918622505,83.0918622505,3.5e-11,-0.000720110123345,-0.00581434205478,0.00109296221908,4.6394329513e-22,-7.25181332463e-23,5.68926944936e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.00012,1.21030299433e-13,83.0918622516,83.0918622516
generator_uniform,term_max_z,277,0.0,0.0,0.0,0.0,2.34447097718e-22,-1.12247270789e-22,3.95188749758e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,3.7085329706e-14,33.3346231761,33.3346231761,1.385e-09,0.00219469063902,0.00209556807796,0.300424224561,-1.01299901435e-22,2.39380912456e-22,3.95188749758e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999745,3.70853296243e-14,33.3346231472,33.3346231472
generator_uniform,term_max_z,795,0.0,0.0,0.0,0.0,-3.83894884659e-22,-2.39678416181e-22,1.37542770486e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.12423110678e-13,73.0952464789,73.0952464789,3.975e-09,0.00428262917521,-0.00285819361586,0.300092750438,7.40381882937e-23,4.4647437894e-22,1.37542770486e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.997818,1.12423109979e-13,73.0952464293,73.0952464293
generator_uniform,term_max_z,585,0.0,0.0,0.0,0.0,2.32367061671e-22,-3.67052338888e-22,1.8712874854e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.03586532216e-13,66.6958418175,66.6958418175,2.925e-09,-0.000376215300983,0.000962361588755,0.30043255266,7.81797465832e-23,-4.27328671434e-22,1.8712874854e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.992074,1.03586529676e-13,66.6958415623,66.6958415623
generator_uniform,term_max_z,236,0.0,0.0,0.0,0.0,4.75271947183e-23,7.49609871404e-23,4.64608497051e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,4.32410415545e-15,10.815372351,10.815372351,1.18e-09,-0.00096244881958,0.000546220494563,0.300919102917,-3.99869709412e-23,-7.92403038653e-23,4.64608497051e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999608,4.32410402968e-15,10.8153721974,10.8153721974
generator_uniform,term_max_z,866,0.0,0.0,0.0,0.0,-2.12893314721e-22,-4.03062267499e-22,1.26318187245e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.14048758329e-13,74.5111118164,74.5111118164,4.33e-09,0.00532192321459,-0.00086007208186,0.300216379683,-7.50945843541e-23,4.49603779389e-22,1.26318187245e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000182,1.14048758387e-13,74.5111118201,74.5111118201
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,-3.75762355095e-22,2.7945254687e-22,6.66930723853e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.2036549736e-13,81.8944581651,81.8944581651,3.5e-11,-0.00363408246475,-0.00457493538124,0.00128123670431,3.57223054314e-22,-3.02791616441e-22,6.66930723853e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000106,1.20365497394e-13,81.8944581662,81.8944581662
generator_uniform,term_max_z,353,0.0,0.0,0.0,0.0,-2.51700418111e-22,-2.5344244372e-22,3.10085256996e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,7.00300878548e-14,49.0381276746,49.0381276746,1.765e-09,0.00354291666648,-0.000510531578952,0.300404498162,-1.69904246749e-22,3.14195349359e-22,3.10085256996e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.996344,7.00300866834e-14,49.0381274374,49.0381274374
generator_uniform,term_max_z,599,0.0,0.0,0.0,0.0,-1.10519609675e-22,-4.22131109434e-22,1.82564458996e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.045127129e-13,67.2964803549,67.2964803549,2.995e-09,0.000673447965168,0.00119990471975,0.300119120739,-3.02765527697e-22,-3.14232857037e-22,1.82564458996e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.992342,1.04512710446e-13,67.2964801153,67.2964801153
generator_uniform,term_max_z,487,0.0,0.0,0.0,0.0,-4.11058542738e-22,-6.49331684678e-23,2.24841271652e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,9.50588253505e-14,61.6184542374,61.6184542374,2.435e-09,-0.0011964574336,-0.000520846531898,0.300507698815,-3.27609733824e-22,-2.56626770394e-22,2.24841271652e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.991528,9.50588226357e-14,61.6184538952,61.6184538952
generator_uniform,term_max_z,247,0.0,0.0,0.0,0.0,1.2415705035e-22,1.05565769032e-22,4.44049473167e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.45778840945e-14,20.1535333259,20.1535333259,1.235e-09,-4.81203243501e-05,0.00158832084293,0.301008611038,-1.30319987315e-22,9.78560436031e-23,4.44049473167e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.99935,1.45778838862e-14,20.1535331935,20.1535331935
generator_uniform,term_max_z,594,0.0,0.0,0.0,0.0,-2.38024783294e-22,3.64920177153e-22,1.84164345647e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.04190668836e-13,67.0862466835,67.0862466835,2.97e-09,-0.00372330136489,-0.00378887299225,0.300222064986,3.69019555039e-22,-2.31618428942e-22,1.84164345647e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.992243,1.0419066635e-13,67.0862464384,67.0862464384
generator_uniform,term_max_z,305,0.0,0.0,0.0,0.0,3.65247462429e-23,3.05893035948e-22,3.58935137363e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,5.20916788199e-14,40.6387464847,40.6387464847,1.525e-09,-0.00278580268243,0.00193933552078,0.300445996684,-2.74191039277e-22,-1.40441731552e-22,3.58935137363e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999061,5.20916785189e-14,40.6387464029,40.6387464029
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,5.36747000857e-23,4.69399308633e-22,2.28550867108e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.22520204813e-13,87.2304847908,87.2304847908,3.5e-11,-0.00583227312848,0.000855728353092,0.000439067731118,-8.34280882523e-23,-4.65033803667e-22,2.28550867108e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000152,1.22520204862e-13,87.2304847913,87.2304847913
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,-3.5648183103e-22,3.02867940438e-22,7.02193289838e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.20100502311e-13,81.4627768561,81.4627768561,3.5e-11,-0.00391842549225,-0.00432520243598,0.00134897941312,3.36491952012e-22,-3.24932995385e-22,7.02193289838e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000101,1.20100502343e-13,81.4627768572,81.4627768572
generator_uniform,term_max_z,315,0.0,0.0,0.0,0.0,3.35926535847e-23,3.18483634711e-22,3.48107379137e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,5.62937667991e-14,42.613304441,42.613304441,1.575e-09,-1.83892847911e-05,0.000551329459771,0.300936170856,-5.47400584896e-23,3.15537346661e-22,3.48107379137e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.998609,5.62937663533e-14,42.613304328,42.613304328
generator_uniform,term_max_z,616,0.0,0.0,0.0,0.0,3.7248665035e-22,-2.31126508736e-22,1.77688693038e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.05476834253e-13,67.9352125686,67.9352125686,3.08e-09,0.00178556936396,-0.000389610177432,0.300393902944,4.34909078563e-22,5.49532240261e-23,1.77688693038e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.992665,1.05476831903e-13,67.9352123463,67.9352123463
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,3.8519250524e-22,-2.65869947905e-22,6.84028074801e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.20238716997e-13,81.685213254,81.685213254,3.5e-11,0.00346844678695,0.00469792614824,0.00131408232499,-3.67498196199e-22,2.89836455856e-22,6.84028074801e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000104,1.2023871703e-13,81.6852132552,81.6852132552
generator_uniform,term_max_z,526,0.0,0.0,0.0,0.0,-2.83387410335e-22,3.16491864358e-22,2.07998833703e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,9.90602395717e-14,63.9130914832,63.9130914832,2.63e-09,0.000397009366118,-0.00295300313639,0.300259842637,1.8973582148e-22,3.80099773217e-22,2.07998833703e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.991454,9.90602368332e-14,63.9130911705,63.9130911705
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,-4.60407708795e-22,-1.08458630344e-22,7.11722686493e-25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.22806639395e-13,89.9137889924,89.9137889924,3.5e-11,0.00116970550569,-0.00578452288092,1.36728628116e-05,4.66374970912e-22,7.89488404785e-23,7.11722686493e-25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000158,1.22806639446e-13,89.9137889924,89.9137889924
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,3.83222943232e-22,-2.77015028108e-22,1.19117314317e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.22729036552e-13,88.5569793216,88.5569793216,3.5e-11,0.00360664807036,0.00466893958604,0.000228835574312,-3.64823599243e-22,3.00833660923e-22,1.19117314317e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.000156,1.22729036603e-13,88.5569793218,88.5569793218
